 o, o,1
 m, m,1
 m, m,1
 a, a,0.511
 n, n,1
 d, k,0.857
 i, i,0.998
 n, n,0.981
 g, g,1
 o, o,1
 m, m,0.999
 m, m,0.998
 a, a,1
 n, m,1
 d, d,1
 i, i,0.999
 n, m,0.999
 g, b,0.976
 o, o,0.984
 m, m,0.996
 m, m,1
 a, a,1
 n, m,0.975
 d, d,1
 i, i,0.99
 n, m,0.758
 g, g,1
 o, o,1
 m, m,1
 m, m,1
 a, m,0.949
 n, n,0.969
 d, x,0.908
 i, i,0.993
 n, n,0.993
 g, g,0.849
 o, o,1
 m, m,0.996
 m, m,1
 a, a,1
 n, n,1
 d, o,0.922
 i, k,0.91
 n, n,1
 g, g,0.999
 o, o,1
 m, m,0.89
 m, m,0.923
 a, a,0.963
 n, n,1
 d, d,1
 i, i,0.984
 n, n,0.999
 g, d,0.904
 o, o,0.679
 m, m,0.53
 m, n,0.706
 a, g,0.998
 n, z,0.72
 d, d,1
 i, i,0.999
 n, z,0.696
 g, g,0.598
 o, o,1
 m, w,0.999
 m, m,0.998
 a, a,1
 n, m,0.999
 d, d,1
 i, l,0.984
 n, u,0.956
 g, g,0.997
 o, o,1
 m, m,1
 m, m,1
 a, a,0.851
 n, n,1
 d, v,0.771
 i, x,0.998
 n, n,0.989
 g, g,1
 o, o,1
 m, m,1
 m, m,1
 a, a,0.55
 n, n,1
 d, i,0.518
 i, l,0.975
 n, n,1
 g, g,0.999
 o, o,1
 m, m,1
 m, m,0.876
 a, o,1
 n, n,0.912
 d, d,1
 i, i,0.949
 n, n,1
 g, g,1
 o, o,1
 m, m,1
 m, m,0.967
 a, m,0.993
 n, w,0.796
 d, d,0.994
 i, i,0.992
 n, v,0.733
 g, g,0.999
 o, o,1
 m, m,0.932
 m, m,0.823
 a, a,1
 n, a,0.448
 d, d,1
 i, l,1
 n, u,0.555
 g, o,0.437
 o, o,1
 m, m,1
 m, m,1
 a, g,1
 n, n,1
 d, j,0.609
 i, i,0.922
 n, n,0.965
 g, o,0.998
 o, a,1
 m, m,1
 m, m,1
 a, a,0.882
 n, a,0.497
 d, d,1
 i, i,0.887
 n, n,0.996
 g, q,0.804
 o, g,1
 m, m,1
 m, m,1
 a, a,0.971
 n, n,1
 d, d,1
 i, i,0.991
 n, n,1
 g, g,0.842
 o, a,0.709
 m, m,1
 m, m,1
 a, d,0.529
 n, n,0.729
 d, d,1
 i, j,0.969
 n, n,1
 g, d,0.545
 o, o,1
 m, m,1
 m, m,1
 a, a,1
 n, o,0.691
 d, d,1
 i, i,0.994
 n, n,0.984
 g, e,0.835
 o, o,1
 m, m,1
 m, m,1
 a, a,0.998
 n, m,0.997
 d, o,0.904
 i, i,0.915
 n, m,0.978
 g, g,0.752
 o, o,1
 m, m,1
 m, m,1
 a, m,0.694
 n, n,0.795
 d, a,1
 i, h,0.69
 n, n,0.711
 g, g,0.932
 o, o,0.901
 m, m,0.999
 m, m,1
 a, a,1
 n, n,0.865
 d, d,1
 i, i,0.999
 n, n,0.999
 g, g,0.863
 o, o,1
 m, w,0.906
 m, m,1
 a, a,0.997
 n, m,1
 d, j,1
 i, l,1
 n, n,0.982
 g, g,0.934
 o, o,0.969
 m, m,1
 m, m,1
 a, a,0.848
 n, m,0.998
 d, z,0.999
 i, r,0.907
 n, t,0.774
 g, b,0.999
 o, o,1
 m, m,0.984
 m, m,0.997
 a, a,0.736
 n, w,0.652
 d, d,0.996
 i, k,0.62
 n, m,0.619
 g, q,0.99
 o, o,0.999
 m, m,1
 m, m,1
 a, m,0.989
 n, m,0.999
 d, d,1
 i, j,0.999
 n, m,0.958
 g, g,1
 o, o,1
 m, m,1
 m, m,1
 a, a,1
 n, n,1
 d, d,0.55
 i, i,0.988
 n, n,1
 g, q,0.542
 o, o,1
 m, a,0.608
 m, a,0.985
 a, a,0.734
 n, o,1
 d, d,0.992
 i, i,0.989
 n, o,1
 g, z,0.968
 o, o,1
 m, e,1
 m, a,0.486
 a, e,0.972
 n, g,0.854
 d, d,1
 i, i,0.995
 n, g,0.999
 g, g,1
 o, o,0.828
 m, m,1
 m, m,1
 a, a,1
 n, a,0.497
 d, h,0.849
 i, i,1
 n, n,0.827
 g, o,0.938
 o, o,0.988
 m, m,1
 m, m,1
 a, a,1
 n, m,0.969
 d, d,1
 i, h,0.97
 n, n,0.87
 g, q,0.994
 o, o,0.999
 m, m,1
 m, m,1
 a, a,1
 n, a,0.999
 d, d,1
 i, i,0.967
 n, n,1
 g, g,0.936
 o, o,1
 m, m,1
 m, m,1
 a, a,1
 n, n,0.979
 d, v,0.712
 i, i,0.792
 n, n,0.996
 g, g,1
 o, m,0.837
 m, m,1
 m, m,1
 a, m,1
 n, m,0.937
 d, d,0.886
 i, i,0.997
 n, m,0.999
 g, g,0.909
 o, o,1
 m, m,1
 m, m,0.999
 a, a,1
 n, n,0.993
 d, d,1
 i, i,0.865
 n, n,0.924
 g, g,0.96
 o, a,0.639
 m, m,1
 m, m,1
 a, a,0.963
 n, m,0.74
 d, d,1
 i, i,0.974
 n, m,0.686
 g, d,1
 o, o,1
 m, m,1
 m, m,1
 a, a,0.974
 n, n,1
 d, d,1
 i, i,1
 n, n,0.914
 g, g,1
 o, o,1
 m, m,1
 m, m,1
 a, a,1
 n, n,0.917
 d, d,1
 i, i,0.975
 n, o,0.956
 g, g,1
 o, o,0.949
 m, m,1
 m, m,1
 a, a,1
 n, n,0.981
 d, d,1
 i, i,0.984
 n, n,1
 g, o,0.946
 o, o,1
 m, m,1
 m, n,0.992
 a, a,0.999
 n, w,0.917
 d, q,0.966
 i, l,0.789
 n, w,0.594
 g, m,0.998
 o, o,1
 m, m,1
 m, m,1
 a, m,0.697
 n, m,0.734
 d, v,0.647
 i, i,1
 n, m,0.956
 g, g,0.644
 o, o,1
 m, m,1
